Date,Open,Close,High,Low
2019-07-18,208.86,215.91,215.95,206.19
2019-06-30,198.36,207.66,207.99,197.32
2019-05-31,195.87,198.27,201.1462,193.32
2019-04-30,190.5,197.57,200.0,186.7
2019-03-31,184.59,189.9,190.52,178.27
2019-02-28,179.55,183.84,184.705,173.41
2019-01-31,175.41,178.78,189.42,174.168
2018-12-31,188.1,177.57,188.42,169.04
2018-11-30,176.67,188.51,190.88,174.0
2018-10-31,168.37,176.9,178.96,161.82
2018-09-30,161.81,167.29,167.83,156.56
2018-08-31,156.57,162.23,163.34,153.13
2018-07-31,155.99,157.54,160.98,154.71
2018-06-30,159.9,156.69,171.56,155.1
2018-05-31,166.38,160.01,167.3,159.08
2018-04-30,158.27,167.44,167.95,155.01
2018-03-31,157.8,156.38,163.23,146.84
2018-02-28,170.27,157.74,173.54,153.86
2018-01-31,173.73,171.14,178.7,170.27
2017-12-31,172.77,172.12,175.78,170.39
2017-11-30,165.72,171.97,173.17,163.52
2017-10-31,156.0,166.91,167.9,155.8009
2017-09-30,159.87,156.68,161.72,153.27
2017-08-31,154.98,159.97,160.0,153.23
2017-07-31,153.44,155.14,159.98,151.77
2017-06-30,150.79,153.16,155.46,148.04
2017-05-31,139.86,150.89,151.145,139.84
2017-04-30,129.5,139.93,142.79,128.65
2017-03-31,128.02,129.61,130.19,127.34
2017-02-28,121.9,127.65,128.9,121.7
2017-01-31,121.86,122.57,123.34,118.18
2016-12-31,118.96,121.72,123.995,117.71
2016-11-30,112.65,119.27,121.87,110.83
2016-10-31,115.01,112.57,115.74,110.33
2016-09-30,115.51,115.36,119.24,114.13
2016-08-31,117.88,115.66,120.02,113.96
2016-07-31,119.72,117.65,128.6,117.43
2016-06-30,121.6,120.34,124.08,116.08
2016-05-31,126.65,122.06,131.96,121.62
2016-04-30,125.19,126.49,129.8,124.87
2016-03-31,117.91,125.68,126.96,115.3248
2016-02-29,123.08,117.19,124.83,112.71
2016-01-31,117.25,123.78,124.35,113.0
2015-12-31,114.52,118.14,120.23,112.91
2015-11-30,112.46,114.16,114.99,109.6
2015-10-31,98.5,112.25,113.959,97.13
2015-09-30,92.77,98.53,98.97,92.6
2015-08-31,100.0,95.02,101.88,87.5
2015-07-31,95.1,99.86,101.1,94.73
2015-06-30,95.84,95.07,97.96,94.0198
2015-05-31,96.73,95.93,101.08,95.57
2015-04-30,96.81,96.55,99.35,94.46
2015-03-31,98.62,97.44,101.09,94.94
2015-02-28,92.05,98.9,99.88,91.43
2015-01-31,94.13,92.44,95.0,88.77
2014-12-31,96.15,93.7,97.5,87.62
2014-11-30,93.78,96.81,97.5,93.02
2014-10-31,94.37,93.73,95.29,89.34
2014-09-30,93.24,94.81,97.3,90.5301
2014-08-31,94.3,93.72,95.37,92.92
2014-07-31,100.43,94.56,101.36,94.56
2014-06-30,101.39,100.74,102.62,99.41
2014-05-31,100.68,101.43,103.78,100.3344
2014-04-30,98.1,101.38,101.78,96.5235
2014-03-31,94.24,98.03,99.07,94.0
2014-02-28,94.54,95.15,97.0,92.22
2014-01-31,96.81,94.17,97.08,92.87
2013-12-31,97.29,97.03,97.29,94.04
2013-11-30,96.52,97.37,99.27,96.32
2013-10-31,96.18,96.52,96.7,93.14
2013-09-30,95.1,96.21,98.99,94.12
2013-08-31,98.62,94.36,99.435,94.01
2013-07-31,99.35,98.08,101.81,96.3
2013-06-30,96.77,99.0,100.18,95.16
2013-05-31,101.98,96.57,103.34,96.5625
2013-04-30,99.41,102.14,103.7,98.38
2013-03-31,95.68,99.69,99.78,94.87
2013-02-28,95.58,95.9,96.78,93.19
2013-01-31,89.4,95.29,95.29,89.25
2012-12-31,87.42,88.21,90.85,86.27
2012-11-30,87.0,87.04,88.13,83.31
2012-10-31,92.11,86.8,94.16,86.37
2012-09-30,89.51,91.75,94.0,88.705
2012-08-31,89.49,89.49,90.43,86.15
2012-07-31,88.41,89.36,93.32,87.62
2012-06-30,87.47,88.53,90.76,85.92
2012-05-31,97.23,89.34,98.01,89.26
2012-04-30,97.82,97.45,99.5,94.13
2012-03-31,99.28,98.1,100.44,95.13
2012-02-29,99.46,99.28,101.29,98.26
2012-01-31,101.33,99.05,102.22,97.7
